stop_id,stop_name,stop_desc
1598,Illes Canàries - Riu Escalona,C ISLAS CANARIAS 71 ACCS. - VALÈNCIA
1599,Illes Canàries - Eduard Boscà,C ISLAS CANARIAS 32 (DAVANT) - VALÈNCIA
16,Cavite - Vicent la Roda,C CAVITE 94 - VALÈNCIA
160,Blasco Ibáñez - Hospital Clínic,AV BLASCO IBAÑEZ 17 - VALÈNCIA
1602,Serradora - Peanya,C SERRERIA 11 - VALÈNCIA
1613,Marcos Sopena - Port,C DOCTOR MARCOS SOPENA S/N (VERJA PORT) - VALÈNCIA
1615,Port - Saragossa,AV PUERTO 2 ACCS. - VALÈNCIA
1616,Port - Eduard Boscà,AV PUERTO 48 - VALÈNCIA
1617,Port - Riu Escalona,AV PUERTO 104 - VALÈNCIA
1618,Port -Tomàs Montañana,AV PUERTO 118 - VALÈNCIA
1619,Port - Cases Carbonell,AV PUERTO 119 (DAVANT) - VALÈNCIA
162,Blasco Ibáñez - Jaume Roig,AV BLASCO IBAÑEZ 7 - VALÈNCIA
1621,Port - Noguera,AV PUERTO 230 - VALÈNCIA
1622,Port - Eivissa,AV PUERTO 256 - VALÈNCIA
1623,Port - Pare Porta,AV PUERTO 308 - VALÈNCIA
1624,Port - Joan Josep Sister,AV PUERTO 334 - VALÈNCIA
1627,Dr. Lluch - Armada Espanyola,C DOCTOR LLUCH 4 - VALÈNCIA
163,Blasco Ibáñez - General Elío,AV BLASCO IBAÑEZ 2 - VALÈNCIA
1630,Menorca - Eivissa,C  1 - VALÈNCIA
1631,Port - Illes Canàries,AV PUERTO 274 - VALÈNCIA
1632,Marqués de Sotelo - Xátiva,AV MARQUÉS DE SOTELO 9 - VALÈNCIA
164,Blasco Ibáñez - Rectorat,AV BLASCO IBAÑEZ BARDISSA CENTRAL(J.ROIG) - VALÈNCIA
1641,General Urrutia (par)  - Antonio Sacramento,C GENERAL URRUTIA S/N - VALÈNCIA
1642,General Urrutia (par) - Antonio Ferrandis,C GENERAL URRUTIA S/N - VALÈNCIA
1643,General Urrutia (impar) - Antonio Sacramento,C GENERAL URRUTIA S/N - VALÈNCIA
1646,la Plata - Músic Òscar Esplá,AV PLATA  DE  LA 77 (DAVANT) - VALÈNCIA
1647,General Urrutia (impar) - Antonio Ferrandis,C GENERAL URRUTIA S/N - VALÈNCIA
165,Blasco Ibáñez (par) - Ciutat Universitària,AV BLASCO IBAÑEZ 18 - VALÈNCIA
1651,Hernández Lázaro -Centre Comercial,C  12 ACCS - VALÈNCIA
1652,Hernández Lázaro - Vall de la Ballestera,C  26 - VALÈNCIA
1653,Mestre Rodrigo - General Avilés,AV MAESTRO RODRIGO 40 (ACCÉS) - VALÈNCIA
1654,Mestre Rodrigo - la Safor,AV MAESTRO RODRIGO 109 (DAVANT) - VALÈNCIA
1655,Mestre Rodrigo - La Plana Baixa,AV MAESTRO RODRIGO 82-A - VALÈNCIA
1657,Marina Baixa - Hospital Arnau de Vilanova,C  BGW 11 - VALÈNCIA
1658,la Safor - Mestre Rodrigo,C LA SAFOR. 20 (ACCÉS) - VALÈNCIA
1659,Mestre Rodrigo (Impar) - la Safor,AV MAESTRO RODRIGO 109 - VALÈNCIA
166,Blasco Ibáñez - Facultat de Geografia,AV BLASCO IBAÑEZ 28 - VALÈNCIA
1660,Mestre Rodrigo (Impar) - General Avilés,AV MAESTRO RODRIGO 85 - VALÈNCIA
1661,Pío Baroja - Parc de capçalera,AV  S/N CARRIL BUS - VALÈNCIA
1662,Vall de la Ballestera - Pío Baroja,C VALLE DE LA BALLESTERA 60 - VALÈNCIA
1663,Alcalde Reig - Pont del Regne,C ALCALDE REIG 6 (DAVANT) - VALÈNCIA
1664,Alcalde Reig  - LLuís Oliag,C ALCALDE REIG 6 - VALÈNCIA
